course,EX,A,B,C,D,P,F,session
EC60011,6,3,6,4,1,0,0,Autumn20
IM47003,7,16,14,9,0,0,0,Autumn20
GG41007,0,2,9,11,5,0,0,Autumn20
HS31082,0,0,0,0,1,0,0,Autumn20
HS49009,15,27,8,1,0,0,0,Autumn20
MA30006,0,0,0,0,0,2,0,Autumn20
MA40011,18,18,12,3,1,2,0,Autumn20
ME40701,0,7,47,40,2,2,0,Autumn20
ME40605,7,8,11,9,4,1,0,Autumn20
ME47603,27,65,30,4,5,2,4,Autumn20
ME41613,0,7,14,14,5,4,0,Autumn20
ME30602,0,0,0,0,0,1,0,Autumn20
ME39604,1,0,0,1,1,0,0,Autumn20
MT41019,6,16,10,0,0,0,0,Autumn20
MT41027,4,21,18,2,0,0,0,Autumn20
MT41023,8,12,9,2,5,0,1,Autumn20
MT31022,0,0,0,2,2,5,0,Autumn20
MI48001,6,21,23,27,0,0,0,Autumn20
MI49003,0,0,0,0,0,0,0,Autumn20
MI31002,0,2,1,0,0,0,0,Autumn20
MA61061,26,45,18,4,2,4,0,Autumn20
MI40039,1,2,1,0,0,0,0,Autumn20
NA49005,0,0,0,0,0,0,0,Autumn20
NA49007,4,23,15,1,3,0,3,Autumn20
PH41017,1,4,6,13,2,4,0,Autumn20
PH41019,3,11,18,2,0,0,0,Autumn20
IM49003,1,5,5,0,0,0,0,Autumn20
AE51010,5,5,3,1,0,1,0,Autumn20
AG60003,0,1,0,0,0,0,1,Autumn20
AG39002,0,2,0,2,0,0,0,Autumn20
AG60129,1,4,6,2,0,0,0,Autumn20
AR42005,2,5,12,3,0,0,1,Autumn20
AR52006,1,13,0,0,0,0,0,Autumn20
BT60015,7,7,0,1,0,0,0,Autumn20
CE41601,0,1,6,1,0,2,0,Autumn20
CE48001,6,7,6,5,5,0,3,Autumn20
CE60135,5,16,1,1,0,0,0,Autumn20
CE41629,0,2,2,3,3,0,0,Autumn20
CE31111,0,0,0,0,1,2,0,Autumn20
CE41021,1,3,3,0,0,0,0,Autumn20
CE31306,0,0,1,1,1,0,0,Autumn20
CE60061,0,0,5,3,1,1,0,Autumn20
CE60119,0,3,4,0,0,0,0,Autumn20
CH39020,0,0,1,0,0,0,0,Autumn20
CH49019,59,14,8,1,1,2,1,Autumn20
CY60101,0,8,10,3,2,3,0,Autumn20
EC60501,3,19,21,8,2,0,0,Autumn20
EC60201,4,8,0,0,0,0,0,Autumn20
EC60601,2,2,3,0,0,0,0,Autumn20
EC31008,0,0,0,0,0,2,0,Autumn20
EC60023,0,1,2,0,0,0,0,Autumn20
EC60101,1,2,0,0,0,0,0,Autumn20
EE49001,9,21,38,10,4,0,1,Autumn20
EX49001,3,10,9,4,0,2,1,Autumn20
EX38002,0,0,1,0,0,0,0,Autumn20
EE60098,9,19,11,5,3,1,0,Autumn20
EE60013,6,2,1,3,2,0,0,Autumn20
EX41005,0,1,0,0,0,0,0,Autumn20
IM31012,0,0,0,1,1,0,0,Autumn20
IM49001,0,19,32,6,0,0,0,Autumn20
IM31010,0,0,1,0,0,0,0,Autumn20
GG49005,5,12,9,1,0,0,0,Autumn20
GG41011,7,14,5,0,0,0,0,Autumn20
HS38002,0,0,1,0,0,0,0,Autumn20
HS60009,1,15,24,10,0,0,0,Autumn20
MA30014,0,0,0,0,0,1,0,Autumn20
MA41007,0,18,12,11,9,3,0,Autumn20
MA38002,0,0,0,1,0,1,0,Autumn20
ME61011,2,2,0,0,0,0,0,Autumn20
ME48701,33,44,18,4,2,0,2,Autumn20
ME60133,0,0,0,5,2,0,0,Autumn20
MF30003,0,0,0,2,0,0,0,Autumn20
MT47003,12,14,5,1,0,0,2,Autumn20
MT41031,3,1,2,1,2,1,0,Autumn20
MT39022,0,2,0,0,2,5,0,Autumn20
MI50003,16,28,14,0,0,0,0,Autumn20
MI31004,0,0,0,0,1,0,0,Autumn20
MI60037,2,2,3,1,1,4,0,Autumn20
PH49001,0,0,0,0,0,0,0,Autumn20
AE51005,3,1,1,1,2,0,0,Autumn20
AG31008,0,0,0,1,0,0,0,Autumn20
