course,EX,A,B,C,D,P,F,session
EE39006-POWER ELECTRONICS LAB.,21,50,31,9,0,0,0,Autumn 21
EE39009-CONTROL AND INSTRUMENTATION LAB.,15,65,64,31,6,0,0,Autumn 22
EE39009-CONTROL AND INSTRUMENTATION LAB.,0,0,2,0,1,0,1,Autumn 19
EE39009-CONTROL AND INSTRUMENTATION LAB.,11,55,43,36,3,1,1,Autumn 21
EE39203-DIGITAL SIGNAL PROCESSING LABORATORY,25,59,51,19,7,4,0,Autumn 22
EE40013-DIGITAL SIGNAL PROCESSING,5,6,14,32,21,76,11,Autumn 22
EE41001-INDUSTRIAL INSTRUMENTATION,2,10,18,36,51,64,7,Autumn 22
EE41001-INDUSTRIAL INSTRUMENTATION,0,0,0,0,1,1,1,Autumn 20
ME11003-BASIC ENGINEERING MECHANICS,74,181,303,175,81,88,9,Autumn 20
ME11003-BASIC ENGINEERING MECHANICS,79,176,294,172,95,80,4,Spring 20
ME11003-BASIC ENGINEERING MECHANICS,84,168,183,230,161,74,12,Autumn 21
ME11003-BASIC ENGINEERING MECHANICS,83,168,184,224,173,73,3,Spring 21
ME11003-BASIC ENGINEERING MECHANICS,0,0,1,0,0,0,0,Autumn 19
BS10003-SCIENCE OF LIVING SYSTEMS,584,158,53,23,25,11,0,Spring 20
BS10003-SCIENCE OF LIVING SYSTEMS,238,359,185,74,34,9,9,Autumn 20
BS10003-SCIENCE OF LIVING SYSTEMS,249,374,164,88,23,12,4,Autumn 21
BS10003-SCIENCE OF LIVING SYSTEMS,56,354,324,95,30,4,0,Spring 21
BS10003-SCIENCE OF LIVING SYSTEMS,1,0,0,0,0,0,0,Spring 19
CD66001-,88,5,2,6,0,0,0,Spring 20
AT30001-FUNDAMENTALS OF EMBEDDED CONTROL AND SOFTWARE,14,43,66,33,3,1,0,Autumn 21
AT30001-FUNDAMENTALS OF EMBEDDED CONTROL AND SOFTWARE,3,19,39,26,10,0,4,Autumn 22
AT30001-FUNDAMENTALS OF EMBEDDED CONTROL AND SOFTWARE,0,1,10,4,2,0,0,Autumn 20
AT60005-,0,0,4,0,0,0,0,Autumn 21
AT60005-,0,2,0,0,0,0,0,Autumn 22
IE20202-DATA COMMUNICATION,11,37,53,22,11,2,1,Spring 21
