course,EX,A,B,C,D,P,F,session
EP36001,0,1,1,0,0,0,0,Spring18
CE31210,0,0,0,0,2,3,0,Autumn19
CS60010,23,33,20,10,7,0,0,Spring21
RX60012,1,2,12,2,2,0,1,Spring21
ET60029,2,1,4,4,1,0,0,Spring20
ET60012,0,9,6,3,0,0,0,Spring21
CE60011,0,2,6,0,0,0,0,Autumn20
CE60013,1,4,3,0,0,0,0,Autumn20
CE60119,0,3,4,0,0,0,0,Autumn20
CE60012,0,1,3,4,0,0,0,Spring21
CE60014,0,7,1,0,0,0,0,Spring21
BM66004,4,1,1,0,0,0,0,Autumn19
HS40003,0,1,1,6,5,2,0,Autumn20
CS60075,1,1,6,5,5,0,0,Autumn19
CS61064,0,4,5,2,0,0,0,Spring20
CS60017,17,24,22,15,4,2,0,Autumn20
MA61027,8,9,5,2,1,2,1,Autumn20
CD61004,2,2,2,4,1,3,0,Spring21
MA60020,0,0,0,0,0,1,0,Spring20
RX60012,0,0,0,1,0,0,0,Spring19
CE31216,6,34,27,8,1,0,0,Autumn20
CL61018,2,3,1,0,1,0,0,Spring20
CE60115,0,0,1,0,0,0,0,Autumn20
AR22006,8,34,0,0,0,0,0,Spring21
CS60021,16,20,11,5,3,0,0,Autumn20
CS21002,40,81,24,9,1,1,0,Spring21
CS29002,50,72,22,9,0,0,0,Spring21
CL60028,1,0,1,3,0,0,0,Spring20
ES61002,0,0,0,0,1,0,0,Spring20
CE60114,0,1,0,0,0,0,0,Spring21
BM60023,0,3,4,1,1,0,0,Autumn19
MA20013,5,11,12,13,16,10,0,Spring20
RE60011,0,0,2,0,0,0,0,Autumn20
RE67006,0,1,0,0,0,0,0,Autumn20
CH31009,1,8,8,15,26,22,0,Autumn19
CH39015,21,53,4,2,0,0,0,Autumn19
CH39023,11,20,28,18,4,0,0,Autumn19
MM66006,0,0,1,0,0,0,0,Autumn19
CH30014,16,23,24,12,6,0,0,Spring20
CH30016,29,21,14,15,2,0,0,Spring20
CH31010,11,35,19,10,6,0,0,Spring20
CH39020,15,45,18,0,0,0,0,Spring20
CH39022,12,36,23,10,0,0,0,Spring20
CH42014,1,1,3,3,0,3,0,Spring20
CH31007,11,29,19,10,7,4,0,Autumn19
CH31011,11,23,19,17,7,3,0,Autumn19
CH30012,12,19,14,24,10,1,0,Spring20
CH42006,11,10,4,2,2,0,0,Spring20
CH40001,10,54,13,2,0,0,0,Autumn20
CH48013,1,8,13,5,3,2,0,Autumn20
CH49015,0,0,0,0,0,0,0,Autumn20
CH49019,55,13,8,1,1,1,0,Autumn20
